matchup_id,date,city,state,country,arena,attendance
209,2014-11-16 15:00:00,Stillwater,Oklahoma,,Gallagher-Iba Arena,5407.0
210,2014-11-16 15:00:00,West Lafayette,Indiana,,Mackey Arena,11466.0
211,2014-11-16 16:00:00,Youngstown,Ohio,,Beeghly Physical Education Center,1353.0
212,2014-11-16 16:00:00,Baltimore,Maryland,,Reitz Arena,1046.0
213,2014-11-16 16:00:00,San Jose,California,,San Jose State Event Center,1453.0
214,2014-11-16 16:00:00,Huntington,West Virginia,,Henderson Center,4789.0
215,2014-11-16 17:00:00,University Park,Pennsylvania,,Bryce Jordan Center,8607.0
216,2014-11-16 17:00:00,Ralston,Nebraska,,Ralston Sports & Event Center,1367.0
217,2014-11-16 17:30:00,Omaha,Nebraska,,CenturyLink Center Omaha,16143.0
218,2014-11-16 17:30:00,Elon,North Carolina,,Alumni Gym,1528.0
219,2014-11-16 18:00:00,Denver,Colorado,,Magness Arena,3002.0
220,2014-11-16 18:00:00,Champaign,Illinois,,State Farm Center,12272.0
221,2014-11-16 18:00:00,Orlando,Florida,,CFE Federal Credit Union Arena,4578.0
222,2014-11-16 18:00:00,Chapel Hill,North Carolina,,Dean E. Smith Center,13579.0
223,2014-11-16 19:00:00,Davis,California,,The Pavilion,779.0
224,2014-11-16 20:00:00,Tucson,Arizona,,McKale Center,14655.0
225,2014-11-16 20:00:00,Las Vegas,Nevada,,Thomas & Mack Center,10902.0
226,2014-11-16 20:00:00,San Francisco,California,,War Memorial Gymnasium,1525.0
227,2014-11-16 22:00:00,Los Angeles,California,,Pauley Pavilion,5398.0
228,2014-11-16 12:00:00,Lexington,Kentucky,,Rupp Arena,22175.0
229,2014-11-16 13:00:00,Pittsburgh,Pennsylvania,,Petersen Events Center,8249.0
230,2014-11-16 13:00:00,Fairfax,Virginia,,Patriot Center,3097.0
231,2014-11-16 14:00:00,Kingston,Rhode Island,,Thomas M. Ryan Center,4320.0
232,2014-11-16 14:00:00,South Bend,Indiana,,Purcell Pavilion at the Joyce Center,7049.0
233,2014-11-16 14:00:00,Lincoln,Nebraska,,Pinnacle Bank Arena,15479.0
234,2014-11-16 14:00:00,Kalamazoo,Michigan,,University Arena in Read Fieldhouse,2022.0
235,2014-11-16 14:00:00,Miami,Ohio,,John D. Millett Hall,972.0
236,2014-11-16 15:00:00,Boston,Massachusetts,,TD Garden,5112.0
237,2014-11-16 15:00:00,Morgantown,West Virginia,,WVU Coliseum,6089.0
238,2014-11-16 15:00:00,Norman,Oklahoma,,Lloyd Noble Center,9626.0
239,2014-11-16 15:00:00,Nashville,Tennessee,,Memorial Gym,7581.0
240,2014-11-16 16:00:00,Clarksville,Tennessee,,Winfield Dunn Center,1631.0
241,2014-11-16 16:00:00,Laramie,Wyoming,,Arena-Auditorium,5876.0
242,2014-11-16 16:00:00,Syracuse,New York,,Carrier Dome,22848.0
243,2014-11-16 17:00:00,Normal,Illinois,,Redbird Arena,4921.0
244,2014-11-16 17:00:00,Dayton,Ohio,,Ervin J. Nutter Center,3668.0
245,2014-11-16 17:00:00,Fayetteville,Arkansas,,Bud Walton Arena,14318.0
246,2014-11-16 17:30:00,Boston,Massachusetts,,TD Garden,5112.0
247,2014-11-16 18:00:00,Irvine,California,,Bren Events Center,1783.0
248,2014-11-16 18:00:00,Stanford,California,,Maples Pavilion,5025.0
249,2014-11-16 18:00:00,Columbia,Missouri,,Mizzou Arena,5369.0
250,2014-11-16 18:00:00,Washington,District of Columbia,,Burr Arena,
251,2014-11-16 19:00:00,Piscataway,New Jersey,,Louis Brown Athletic Center,5824.0
252,2014-11-16 19:00:00,Charlottesville,Virginia,,John Paul Jones Arena,12845.0
253,2014-11-16 20:00:00,Austin,Texas,,Frank Erwin Special Events Center,8463.0
254,2014-11-16 20:00:00,Berkeley,California,,Haas Pavilion,4944.0
255,2014-11-16 21:00:00,Albuquerque,New Mexico,,The Pit Arena,13829.0
256,2014-11-17 18:00:00,Bloomington,Indiana,,Assembly Hall,17243.0
257,2014-11-17 19:00:00,Baltimore,Maryland,,Hill Field House,3874.0
258,2014-11-17 19:00:00,Gainesville,Florida,,Stephen C. O'Connell Center,11156.0
259,2014-11-17 19:00:00,Albany,New York,,Times Union Center,5964.0
260,2014-11-17 19:00:00,Harrisonburg,Virginia,,JMU Convocation Center,2729.0
261,2014-11-17 19:00:00,Clemson,South Carolina,,Littlejohn Coliseum,5960.0
262,2014-11-17 19:00:00,Louisville,Kentucky,,KFC Yum! Center,20479.0
263,2014-11-17 19:00:00,Lynchburg,Virginia,,Vines Center,1897.0
264,2014-11-17 19:00:00,Newark,New Jersey,,Fleisher Center,775.0
265,2014-11-17 19:00:00,Ypsilanti,Michigan,,Convocation Center,863.0
266,2014-11-17 19:00:00,Cleveland,Ohio,,Wolstein Center,1529.0
267,2014-11-17 19:00:00,Dover,Delaware,,Memorial Hall,1474.0
268,2014-11-17 19:30:00,Queens,New York,,Carnesecca Arena,3553.0
269,2014-11-17 19:30:00,College Park,Maryland,,Xfinity Center,8612.0
270,2014-11-17 19:30:00,Greensboro,North Carolina,,Corbett Sports Center,816.0
271,2014-11-17 19:30:00,Charleston,South Carolina,,CSU Fieldhouse,968.0
272,2014-11-17 20:00:00,San Antonio,Texas,,UTSA Convocation Center,790.0
273,2014-11-17 20:00:00,Charleston,Illinois,,Lantz Arena,877.0
274,2014-11-17 20:00:00,Fort Worth,Texas,,Wilkerson-Greines Activity Center,3509.0
275,2014-11-17 20:00:00,Starkville,Mississippi,,Humphrey Coliseum,6065.0
276,2014-11-17 20:00:00,Troy,Alabama,,Trojan Arena,3278.0
277,2014-11-17 20:00:00,Monroe,Louisiana,,Fant-Ewing Coliseum,1078.0
278,2014-11-17 20:00:00,Chicago,Illinois,,Joseph J. Gentile Center,913.0
279,2014-11-17 20:00:00,Houston,Texas,,Sharp Gymnasium,907.0
280,2014-11-17 20:00:00,Baton Rouge,Louisiana,,F.G. Clark Center,1032.0
281,2014-11-17 20:05:00,Jonesboro,Arkansas,,Convocation Center,1517.0
282,2014-11-17 20:30:00,Denton,Texas,,UNT Coliseum,1367.0
283,2014-11-17 21:00:00,Providence,Rhode Island,,Dunkin' Donuts Center,9149.0
284,2014-11-17 21:00:00,Tuscaloosa,Alabama,,Coleman Coliseum,8830.0
285,2014-11-17 21:30:00,Ogden,Utah,,Dee Events Center,5453.0
286,2014-11-17 22:00:00,Honolulu,Hawaii,,Stan Sheriff Center,
287,2014-11-17 22:00:00,Riverside,California,,UC Riverside Student Recreation Center,580.0
288,2014-11-17 22:00:00,Reno,Nevada,,Lawlor Events Center,4932.0
289,2014-11-17 23:00:00,Eugene,Oregon,,Matthew Knight Arena,5051.0
290,2014-11-17 23:00:00,Spokane,Washington,,McCarthey Athletic Center,6000.0
291,2014-11-17 19:00:00,Providence,Rhode Island,,Paul Bailey Pizzitola Sports Center,1503.0
292,2014-11-17 19:00:00,Raleigh,North Carolina,,PNC Arena,14634.0
293,2014-11-17 19:00:00,Jacksonville,Florida,,UNF Arena,1622.0
294,2014-11-17 19:00:00,Philadelphia,Pennsylvania,,Liacouras Center,4237.0
295,2014-11-17 19:00:00,Muncie,Indiana,,John E. Worthen Arena,3244.0
296,2014-11-17 19:00:00,Philadelphia,Pennsylvania,,John A Daskalakis Center,2509.0
297,2014-11-17 19:00:00,Boca Raton,Florida,,FAU Arena,1317.0
298,2014-11-17 19:00:00,Villanova,Pennsylvania,,The Pavilion,6500.0
299,2014-11-17 19:00:00,Fort Myers,Florida,,Alico Arena,4412.0
300,2014-11-17 19:00:00,Morehead,Kentucky,,Ellis T Johnson Arena,3025.0
301,2014-11-17 19:00:00,Hackensack,New Jersey,,Rothman Center,450.0
302,2014-11-17 19:00:00,New Haven,Connecticut,,John J. Lee Amphitheater,459.0
303,2014-11-17 19:30:00,Charleston,South Carolina,,TD Arena,3527.0
