box_score_id,player_id,minutes_played,fg,fg_a,two_pt,two_pt_a,three_pt,three_pt_a,ft,ft_a,o_reb,d_reb,assist,pf,stl,to,blk,pts
9375,785658,11,2,2,1,1,1,1,0,0,0,0,1,0,1,1,0,5
9375,791660,33,4,11,2,7,2,4,0,0,0,4,2,0,1,1,0,10
9375,791663,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9375,791661,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9375,797295,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9376,775628,40,9,21,7,16,2,5,8,8,2,3,6,4,3,8,4,28
9376,799000,28,6,13,6,13,0,0,1,2,5,4,2,3,1,1,1,13
9376,775198,36,3,8,2,4,1,4,0,0,1,5,0,2,1,5,0,7
9376,780571,17,1,5,0,3,1,2,0,0,0,2,0,0,1,0,0,3
9376,780263,3,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
9376,785471,31,5,9,5,8,0,1,8,10,2,4,1,2,0,1,0,18
9376,786697,23,3,7,2,4,1,3,3,3,2,1,0,1,0,0,0,10
9376,792399,18,0,1,0,1,0,0,1,2,1,3,0,1,0,2,1,1
9376,792397,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
